,INC,OUT,TEN,MCH,BAN
1,21704.77,11.69907956,1.156680997,242.632554,800.9827661
4,40074.19,8.147416533,1.670971726,149.948316,271.4934362
6,11467.5,11.18272453,13.23677381,200.118516,1907.242972
7,26759.64,7.791632265,4.26425515,114.950905,979.6127078
14,64256.81,11.79073041,10.06019902,159.965581,1582.295235
15,89061.45,10.79846973,13.87001293,177.65076,1840.014467
16,31659.3,13.52284721,15.78214958,194.966286,2070.376729
17,44142.81,9.831166695,2.303331273,202.682861,882.0985933
19,19494.75,10.92246098,12.80615845,149.944668,1954.080809
24,28520.32,13.74777955,5.770390256,162.511928,870.76398
25,12558.83,9.767668044,4.157658837,92.455141,774.2937069
26,8762.23,15.8626095,10.40566091,222.649979,1506.446527
27,43882.72,14.73616645,1.392421597,139.981577,419.0508708
28,10482.52,13.43558029,1.430386349,200.132293,1259.415493
29,33442.79,10.61771118,5.425864884,257.651257,1745.125956
32,51960.51,8.774646693,4.727388465,230.105118,1013.993166
33,25942.1,11.13156721,20.89923386,174.958118,2680.762173
34,11211.59,5.540788887,3.471329958,267.664655,1081.814362
35,8283.29,13.80362698,5.478588204,162.483267,1209.961168
36,10114.81,16.31017089,3.312991809,229.993134,897.5919144
42,12003.33,12.54780492,3.924254455,255.141716,1125.581944
44,15137.93,13.156514,8.798394712,242.632554,1412.736809
45,54458.38,10.58349704,10.377366,245.174977,1710.689671
46,132116.33,12.50184778,22.25746016,184.964681,2384.885909
47,37358.13,9.750038902,9.427146079,195.006206,1213.940165
50,4662.37,8.957166926,3.343811019,184.979684,1026.387172
51,43820.85,8.015021713,7.338869531,187.656013,1234.244324
53,44137.6,11.13960534,1.55278221,169.944668,452.8721504
54,14364.65,9.03738856,12.07970325,160.00128,1296.674543
56,82634.86,8.387624096,9.563362997,114.950905,1324.330108
58,14568.7,10.22013704,15.72071086,220.14775,1868.864027
62,100076.65,10.79349982,7.960490246,152.455519,1416.444695
66,10964.73,6.194985909,4.471254161,265.146969,1007.425553
67,22365.28,10.80393657,10.79028074,207.609354,1323.028419
69,19048.13,11.27443693,2.203859443,200.132293,1120.241472
70,42784.82,6.129509309,23.92132231,212.655686,2676.789803
71,77996.88,7.969277912,3.7311787,255.119794,1268.086909
73,7724.73,6.258356398,9.190009376,255.137219,1577.915603
74,1509.52,12.92303286,2.378630018,214.966286,648.7471776
75,81124.71,12.43301273,5.43464555,270.160419,1648.102673
76,11795.57,7.607663559,1.092361222,200.165175,768.0874545
78,19038.78,13.04429298,24.64873861,240.114868,2660.503932
80,37428.26,13.79387475,9.82814183,187.609354,1771.286466
87,27827.03,7.274007029,3.721772616,207.638588,777.3060718
88,15609.05,8.913898759,3.76663012,187.609354,1393.202392
90,58482.9,8.294186076,2.188918771,192.470522,409.7486664
91,41656.53,15.19664016,13.85488928,222.628057,2138.107161
93,15841.19,6.942719201,19.75096265,159.979358,2481.385603
95,24270.88,11.0596826,4.672610857,245.145743,1158.91369
97,64816.84,5.271228601,12.97632235,187.484705,1956.7337
100,58077.38,10.68311773,14.46288204,222.660939,1806.135733
102,23289.77,12.40165307,2.542296644,220.161527,808.4305471
104,3805.84,14.86100819,22.79214163,204.963371,2294.781131
105,52616.27,6.716953195,3.823689744,204.963371,826.3438621
106,30550.42,8.124258176,10.77094687,245.128318,2072.564168
107,12154.01,14.60903837,13.08671185,172.473314,1436.793746
108,30649.31,12.65015936,14.76468813,172.456745,1963.332683
109,31417.33,12.0281501,9.473091121,194.976769,1324.164906
111,9044.26,11.30421466,6.577552683,192.470522,888.6517305
112,25381.66,10.26646787,3.174571918,159.951231,377.0810282
114,12527.51,10.40677369,13.12190056,174.961766,1431.409396
118,64222.21,5.785085772,7.120096363,127.442069,1290.737183
119,11014.98,9.062879297,9.344886869,210.138,1403.270091
121,26130.78,4.539566699,4.799514433,242.657291,1256.287854
126,95028.57,6.076260652,4.627672042,220.161527,1038.745378
129,9515.64,8.353693631,4.568682641,220.161527,1244.296865
130,125814.88,10.74539526,6.085030507,139.965008,1162.332926
132,77531.43,2.310584634,8.574901206,184.949594,1442.974877
133,87354.99,5.290318715,9.743201772,252.637807,1577.208717
138,74638.78,6.547676875,14.64011644,255.155493,1925.911722
139,32652.3,7.410590719,11.71637124,174.976769,1805.011298
141,28622.6,11.29945603,2.887429547,192.440432,513.237305
144,35954.77,13.71555406,3.237560234,137.461553,819.4195269
145,36342.31,15.40917963,2.733109234,217.472533,882.1160656
146,48715.53,11.9664542,3.180102025,210.138,724.7803356
148,35302.52,14.01485542,11.73724209,262.610632,1668.199119
149,54895.16,14.62784306,7.006240694,152.488401,1124.353152
150,60398.06,10.90517581,5.562130367,174.974431,1316.239744
153,29950.47,12.34250072,3.260462654,184.961033,1248.097652
156,15388.32,7.82671592,7.983887266,187.642236,990.0555076
158,47877.81,11.40449185,19.95277818,252.637807,2190.259876
160,107111.8,15.38627887,2.600063739,162.482694,528.6553088
161,10403.59,10.68024546,11.92299244,182.467607,1296.481055
163,19476.27,10.91642397,10.87555535,200.165175,1700.121992
164,96382.76,8.580626195,16.00330155,202.682861,2120.673828
167,10155.51,9.217689334,8.044444101,149.959755,1112.937102
169,34112.1,13.36027908,10.21634248,187.656013,1479.730181
170,32653.51,4.372034777,15.50354683,164.985293,2144.735024
171,35321.46,10.59285179,13.88004531,159.965008,1522.289512
173,37297.82,3.767298987,10.01771765,204.949594,1261.177198
175,24702.68,11.2369761,12.64742067,162.471255,1357.062854
177,63166.87,6.094109902,3.701557118,207.609354,937.5863866
180,12779.23,12.53830949,15.64596698,240.114868,1781.854862
181,25519.91,12.8219418,23.00764441,240.114868,2464.577489
183,77383.72,10.51043963,13.01107597,240.114868,1664.19271
184,47395.3,11.86384439,5.104082209,209.993134,1433.616898
187,47726.25,8.174495258,1.875430489,152.502178,590.7765801
